date,aave,compound,venus_finance,morpho_blue,banker_joe,spark,kamino,benqi,maple,euler,iron_bank,jupiter,fluid,blizz_protocol,moonwell,radiant_capital,zerolend,neverland,hyperlend,lista_dao,kinza_finance,uwulend,cream_finance,hypurrfi,seamless_protocol,mendi_finance,annex_finance,atlantis_loans,dolomite,ola_finance,granary_finance,strike,reserve_lending,lodestar_finance,percent_finance,hundred_finance,sake_finance,fortress_protocol,nereus_finance,easy_finance,rho_markets,realt,sturdy,channels_finance,tender_finance,extra_finance,enclabs_protocol,agave_finance,lore_finance,centrifuge,vicuna_lending,machfi,apple_lending,portler,native_lend,hopelend,goldbank_finance,lendora_protocol,hyperdrive,aquarius_loan,shroomy_protocol,neku,paribus,zeno_lend,filda,power_pool,curvance,total
2021-10-01,6272364993.953267,3653334593.314678,718726245.177043,0,6479084634.041079,0,0,1011178148.335935,0,0,678743083.126698,0,0,0,0,0,0,0,0,0,0,0,15165250.952441,0,0,0,51914762.452673,91489186.950968,0,0,0,4185843.859527,439145.702048,0,0,12745691.681736,0,818132.493266,0,75.569681,0,0,0,13081628.580210,0,0,0,135443.029208,0,0,0,0,58.448018,0,0,0,0,0,0,0,0,94029.711918,0,0,0,0,0,19003500947.380394
2021-11-01,5785892729.326246,1373894605.265388,894486527.340263,0,8486614527.177735,0,0,1401850516.066589,0,0,468940477.212196,0,0,2786738276.159990,0,0,0,0,0,0,0,0,8714114.742374,0,0,0,18415631.367316,55659653.499789,0,2519295.953118,0,590892.966947,116459.878309,0,0,3511354.002938,0,456704.230706,0,852.719239,0,0,0,215981.223446,0,0,0,837424.264625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21289456023.397209
2021-12-01,5603623608.501051,914472011.076209,2735450386.115235,0,4404827965.316004,0,0,940133816.048450,0,0,365181496.618125,0,0,606369395.304509,0,0,0,0,0,0,0,0,2494038.570658,0,0,0,10074291.341607,20085271.964253,0,2916603.244394,0,941568.963913,83180.515127,0,0,9895788.134515,0,626008.250503,0,1504.862288,0,0,0,128094.523785,0,0,0,156647.343663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11161.749078,0,0,15617472838.443365
2022-01-01,3897730113.092796,1190234781.138522,1687314624.907090,0,1244575277.503332,0,0,458430496.540379,33973162.414511,0,408939981.533238,0,0,263140139.966423,0,0,0,0,0,0,0,0,2738978.638790,0,0,0,3066328.327727,17211982.300271,0,812234.471543,0,353460.074429,4830.681388,0,0,12314251.015550,0,565606.315851,0,56.290538,0,0,0,2647.099348,0,0,0,1208430.769413,0,3732985.468528,0,0,0,0,0,0,0,0,0,0,0,170.008500,0,0,946.665597,0,0,9226351485.223763
2022-02-01,4021999762.718041,1190180179.061202,1870402058.165399,0,2353116054.992306,0,0,396049888.365546,238056193.854220,0,275538784.442474,0,0,71858225.871303,0,0,0,0,0,0,0,0,2193256.393239,0,0,0,770077.718954,5670814.961265,0,20461140.123856,0,2451259.203559,63215.143158,0,0,21157236.855790,0,340662.443805,3790158.235225,440.657363,0,0,0,13358.926691,0,0,0,403481.506093,0,2190705.249847,0,0,0,0,0,0,0,0,0,0,0,43.039026,0,0,321.292828,0,0,10476707319.221195
2022-03-01,3073905383.728440,723902717.327086,2876173644.663629,0,1485695593.739290,0,0,410285038.200261,260806902.676974,0,79866598.600218,0,0,7635573.286066,0,0,0,0,0,0,0,0,2617854.565652,0,0,0,1779425.685144,1646448.144223,0,26566030.250117,0,50435.143028,51373.804990,0,0,10548654.564831,0,421739.663839,16684484.815109,217.143994,0,0,0,5004.753481,0,0,0,555036.317956,0,1531097.871710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.560804,0,0,8980729256.506840
2022-04-01,4334372834.401397,330257365.564071,1341114067.036026,0,652734571.824079,0,0,708905351.015834,94422921.190812,0,48296636.448630,0,0,23003128.233746,0,0,0,0,0,0,0,0,3132589.145328,0,0,0,5192624.478809,733748.634260,0,18524413.131517,0,6327653.343298,44790.261933,0,0,896182.668884,0,116129.743029,7381414.075915,0,0,0,0,700.137790,0,0,0,433203.178733,0,717676.982653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038164,0,0,7576608001.534906
2022-05-01,3718562467.994931,484913658.239768,366714906.740867,0,232690832.635551,0,0,179223102.096930,132728903.121098,0,30478258.663693,0,0,2624891.530789,0,0,0,0,0,0,0,0,2664493.584525,0,0,0,13927062.913356,813915.949719,0,9999242.310151,2.001418,4696967.415904,0,0,0,183990.536314,0,123925.321671,3483294.814507,0,0,0,501.171719,7480.865713,0,0,0,457840.317832,0,0,0,0,0,0,0,0,0,0,0,0,0,2298.702388,0,0,0,0,0,5184298036.928846
2022-06-01,5191613871.935556,350317455.239935,208980833.434123,0,2419829.831736,0,0,137698993.114056,44031973.903000,0,54414166.277035,0,0,0,0,0,0,0,0,0,0,0,414979.329862,0,0,0,6424116.983988,409446.367304,0,5466551.570941,99541.675043,8585272.779867,0,0,0,326694.495818,0,0,3656882.151538,1.928916,0,0,81387.971021,11688.915827,0,0,0,330964.986332,0,0,0,0,0,0,0,0,0,0,0,0,0,164.190961,0,0,0,0,0,6015284817.082859
2022-07-01,2315262615.601215,349771206.411947,143290648.154131,0,1697511.519285,0,0,92242507.555804,0,0,8621354.152721,0,0,0,0,353782644.667717,0,0,0,0,0,0,2022303.004652,0,0,0,1537776.845425,271225.245202,0,3168001.091752,437146.394580,836940.527922,0,0,0,178567.389348,0,38.059774,1593693.892861,3.122706,0,0,2993705.473806,5001.712730,0,0,0,298569.206427,0,100088.970160,0,0,936.758666,0,0,0,0,0,0,0,0,0,0,0,406.744016,0,0,3278112892.502848
