day,USDC,USDT,USDT0,USDC.e,USDT.e,USDt,PYUSD,RLUSD,USD₮0,EURC,USDtb,FDUSD,USDG,USDP,USDH,mUSD,USD₮,EUROC,FLX,total
2025-03-01,157660309963.410736,93573061699.850525,0,135965334.388362,72415198.780746,1899690963.756728,886003716.874206,0,0,277154348.517461,0,560987837.615629,0,8347802.102215,0,0,8133879.997049,0,0,255082070745.293610
2025-04-01,156803098977.000977,88976829183.599548,0,120778800.942819,66539480.807948,2083296068.965720,818832600.159650,79657323.344608,0,319909294.675574,0,471817493.589604,0,8058426.109963,0,0,152302.663215,0,0,249748969951.859589
2025-05-01,184685672807.910034,125900259551.943909,0,253245861.046648,67953211.332396,3275840994.197039,923976000.898899,608846482.831104,418736871.861217,587059881.436691,5596.661232,461494613.145056,0,8395306.296903,0,0,258904.766878,0,0,317191746084.328064
2025-06-01,205514264136.209015,143933909307.496826,0,335805337.078328,62279416.872524,3313814114.042851,877424488.691618,2421941825.994771,1432975263.183714,687652817.244187,347609093.405445,450855264.930031,0,8209153.220436,0,0,6479420.387223,0,0,359393219638.756897
2025-07-01,253964893714.013977,187987349314.107361,0,432770747.628928,63051936.931625,3563254399.511901,844422932.572111,5888261880.614547,2444823878.379014,963203054.696101,1360477692.060783,437470028.222445,0,8574178.035488,0,0,50175718.221148,203590560.488075,0,458212320035.483521
2025-08-01,318370637846.299438,239501091195.983307,0,523683334.350821,62243290.962084,3705823920.247881,1303659946.136187,7403933036.634883,4628685845.546065,1560370409.475948,2411594174.438668,433417636.338501,0,8613554.406846,0,0,147896306.186023,134367405.744469,0,580196017902.751221
2025-09-01,356735503112.463501,244150310692.994110,13147665605.975697,736314150.788798,59389273.380677,3298410680.016252,2724344977.540984,6701107681.063733,6270281368.883449,1804326939.961238,2386337502.743370,411392829.559723,0,8180982.261902,603386.740777,104855846.863108,159238592.120762,11285481.684057,0,638709549105.042114
2025-10-01,361581771781.726685,227396083562.503387,86594932956.891052,1416749408.072160,60803051.338931,3810666418.448842,11399013884.753181,8805533275.682751,5942549985.266112,2295130951.495708,2006840406.777375,408126098.076845,124617997.918890,8396119.804990,43609095.827969,1926646013.296920,181891466.288573,38463455.724619,0,714041825929.895020
2025-11-01,315645333423.253418,211848210221.292236,63452899480.775261,995406047.424497,58067112.812055,2668588754.187428,11581972031.803566,10338210275.575592,4721265322.228908,1950721644.914874,1756162137.911836,340952850.847304,678038400.600570,8201487.068114,75236885.029723,120943932.055341,155287300.949876,118798709.592756,0,626514296018.323120
2025-12-01,341160648010.169617,207284334738.321350,69319897109.778046,769549960.554938,59398881.259021,2475938511.445073,12352355705.012064,11733457399.368349,2690953025.486074,2078082465.471348,1682042199.665956,350726593.584361,764685479.661930,8558316.338009,1053885113.683524,8569746.566275,137310881.309532,60793403.520540,0,653991187541.196167
2026-01-01,370748837413.377014,215877013103.106903,69759544412.688705,660142249.783585,59101708.909817,2350135978.503195,14431254561.773487,13248300471.796875,1565761387.644425,2927075701.052453,2038613982.501049,348343716.403180,898363944.418890,8754324.860181,1248692366.154547,11568497.551427,146923487.148090,41704960.430013,0,696370132268.103882
2026-02-01,293706683634.065857,159382752708.542053,51658522944.188751,527697181.858615,50471029.080859,1744708779.017861,14105550350.597872,10474749661.497299,1408961886.949227,2770096904.026823,2845512742.672399,307081662.940193,1224619222.566240,1367923.668773,960240205.354443,4427676.016425,120792762.614706,22600542.433437,0,541316837818.091797
2026-03-01,211907644224.977325,120940677210.642258,32796672040.599873,413150594.915565,37492017.936386,1258870281.663785,11938278177.757769,8735437793.174212,1013666223.944823,1943032883.205966,2829897770.811440,231366466.329221,1223111355.264494,1034170.074940,752910395.662898,2844883.107040,80386464.761147,0,0,396106472954.829163
