day,Other (Adjusted),Centralized Exchange,Decentralized Exchange,Other Categorized,total
2021-04-01,95914536256.030029,138483713486.638733,22824820350.003769,41346907448.224213,298569977540.896729
2021-05-01,134362218418.682281,191333482846.427673,40104927505.537178,92453710590.261093,458254339360.908264
2021-06-01,93613599882.158447,104430231237.920959,30494456509.000572,37166092615.520966,265704380244.600952
2021-07-01,79439779298.978455,82607188120.095123,34964832460.775826,29169729443.622299,226181529323.471680
2021-08-01,101017789952.399506,119237836527.712708,36043288525.530052,42228374169.770309,298527289175.412598
2021-09-01,115052085623.238281,125902251812.848755,38074995261.051239,42854755542.755402,321884088239.893677
2021-10-01,123277925423.442139,140917796935.527130,37966213184.251251,33373842103.805714,335535777647.026245
2021-11-01,139506373970.589661,166150950845.049072,40212692500.555084,53399398758.575386,399269416074.769226
2021-12-01,134517413164.027618,149029828421.423645,47978832063.031433,58451941291.250214,389978014939.732910
2022-01-01,117498388790.941345,119531419958.739395,45324341032.235977,36222585424.357147,318576735206.273804
2022-02-01,93802691617.835114,90420912681.671600,37809096899.170464,29044482696.448181,251077183895.125366
2022-03-01,115243701101.308563,132091989692.078278,40645838199.490654,35657131600.321472,323638660593.198975
2022-04-01,129190210164.340149,119706606117.529144,34378048360.849007,24845047949.659531,308119912592.377869
2022-05-01,144326228738.445648,188563915313.951294,78533650350.562973,56577385474.448990,468001179877.408936
2022-06-01,120809022328.702240,133397510781.126389,63625855194.134430,60011546327.432808,377843934631.395813
2022-07-01,108205416121.232208,96624104492.969879,61740532543.434067,36995411824.661125,303565464982.297302
2022-08-01,113456448466.522125,87077244691.461716,95310237686.282990,41071423540.872795,336915354385.139648
2022-09-01,110089782409.921936,92406199015.475861,71971239557.456146,39011125117.929352,313478346100.783325
2022-10-01,106371021834.817932,91741556754.926056,57134317120.796310,44160381000.838539,299407276711.378845
2022-11-01,136333818299.886581,157113374714.642395,97866265809.848282,78494509281.526962,469807968105.904236
2022-12-01,120932259721.754700,107403603481.579285,73477648767.380005,93450259290.571304,395263771261.285278
2023-01-01,116939618204.941055,125140209953.169312,84764159041.198517,77026705008.768555,403870692208.077393
2023-02-01,123601868874.331360,109772382127.779663,55226243641.604462,44108306019.107254,332708800662.822693
2023-03-01,166861022874.049988,156693114566.092346,86836560065.137756,67914993347.588585,478305690852.868652
2023-04-01,144643585899.611755,88453250427.917114,46657874464.703148,32599402076.429825,312354112868.661804
2023-05-01,154654345739.841919,95118751556.609253,25813989823.897446,21611986294.049583,297199073414.398193
2023-06-01,144004380237.541443,102571779288.468628,54128928348.563568,50466966556.326981,351172054430.900574
2023-07-01,141441505750.558868,85485560819.621017,40205167454.062546,32401202536.847992,299533436561.090454
2023-08-01,142783948798.807404,93497490128.892395,43789030438.912384,35609973814.682861,315680443181.295044
2023-09-01,135313268312.137054,79446598850.666031,34923435617.692108,31811266962.567272,281494569743.062500
2023-10-01,138930079587.357422,97626128994.658783,42360867098.613251,36460272879.916962,315377348560.546387
2023-11-01,150117598027.960083,120101493983.569031,35331023174.379066,29393872155.778252,334943987341.686462
2023-12-01,172026620713.750793,138950972967.330750,32602641735.837299,24823926985.695686,368404162402.614502
2024-01-01,172403662575.136841,153122796553.143188,41226554111.334084,39160960333.204407,405913973572.818542
2024-02-01,160327471622.767822,147504418673.678772,32544618581.611389,28395877437.748924,368772386315.806885
2024-03-01,229703949463.187012,235220663317.509277,51043877499.855278,45068364827.633133,561036855108.184692
2024-04-01,210002863807.892853,209223382204.847168,50736236843.843094,52819675492.717636,522782158349.300720
2024-05-01,194512416413.945343,167609636111.497742,52617414013.428284,50384938497.468613,465124405036.340027
2024-06-01,194565820002.530640,154285683352.287842,43020317674.761169,45351766389.491028,437223587419.070679
2024-07-01,206755407138.297485,165810392498.403320,53953130489.272491,51734258771.851654,478253188897.824951
2024-08-01,211649244472.716431,176330436155.363861,60624088978.358459,65954272117.027969,514558041723.466736
