day,ethereum,tron,solana,arbitrum,base,avalanche,ton,aptos,polygon,celo,stellar,sui,optimism,bsc,hyperevm,codex,worldchain,linea,total
2023-11-01,65252997204.092468,48098659440.666481,6924883277.443349,380984889.943937,156996357.665548,1047213149.521584,0,0,100028713.933156,0,132826905.926946,0,47636085.541958,45380778.880000,0,0,0,0,122187606803.615417
2023-12-01,66772769598.205315,49086772997.754005,6971410762.918882,458162902.942555,41218335.215465,1092547088.140413,0,0,133901643.772643,0,41997490.277778,0,32745493.453176,51381278.880000,0,0,0,0,124682907591.560226
2024-01-01,70822504028.319336,52257268247.511932,6971659673.674513,795534474.352979,205260308.520050,1078493044.113133,0,0,130582993.598074,90.000000,65259854.008743,0,63944127.262646,27855476.880000,0,0,0,0,132418362318.241409
2024-02-01,73823955958.852844,53069187163.312347,3671658892.907369,1003368742.991760,235506090.801354,1096222174.683308,0,0,196013860.398634,5610198.880000,70358357.240632,0,74574394.431898,142775946.950000,0,0,0,0,133389231781.450150
2024-03-01,79081756963.577499,54966003763.596054,4212887155.244503,1126723891.486527,978485781.912924,1432108838.924196,0,0,182848162.150191,76339412.027000,93493034.239681,0,126044735.350943,99103895.190000,0,0,0,0,142375795633.699554
2024-04-01,81369977122.446228,57933216560.268799,4635263299.015121,1127100900.695681,2452934653.912015,1826666081.662606,130000002.000000,0,202775341.109717,88020784.837000,109019963.975720,0,152707831.122459,178903385.190000,0,0,0,0,150206585926.235321
2024-05-01,79778538826.563660,58899034114.595436,4572426208.126747,1165657553.629220,2940314349.115060,2001379554.730289,430000002.000000,0,227917779.167772,85864153.537000,151395770.797403,0,172201967.009061,137877818.620000,0,0,0,0,150562608097.891602
2024-06-01,78919471139.743149,59887028433.110085,4584922972.427979,1127760625.908494,2974865277.101601,1762274758.748551,580000002.000000,0,336761105.084847,195794388.707000,193186380.614412,0,169047912.414233,49872439.690000,0,0,0,0,150780985435.550385
2024-07-01,79231102700.690552,60883849178.125595,4956471061.297380,1382327699.146074,2974795934.719848,1747251194.745414,730000002.000000,0,418674710.955144,510178792.397000,233087432.243537,0,181402203.786180,47872439.690000,0,0,0,0,153297013349.796783
2024-08-01,82894635283.053711,61873705815.952507,5559944253.975853,1424234601.052028,3071324535.808195,2017229207.108995,730000002.000000,0,502164268.396673,510334159.807000,278791445.519438,0,203652715.838427,68991569.690000,0,0,5900.009000,0,159135013758.211884
2024-09-01,84638492302.843292,61867013332.152878,5221535857.772410,1297517947.285124,3478037820.681450,2229874464.053012,1030000002.000000,0,481216139.864753,510105091.447000,145445258.339040,100.000000,199710058.055428,97981569.690000,0,0,5900.009000,0,161196935844.193359
2024-10-01,83244781787.362183,62849680258.692581,5113963053.701665,1379276672.584585,3532020302.649136,2231991549.423030,1030000002.000000,30000000.600000,490896541.933125,513306251.647000,196419808.605640,86322479.311967,173857859.724624,81987170.180000,0,0,8465140.128526,0,160962968878.544098
2024-11-01,102668648989.304016,61816767540.489265,5810159895.156837,2205921506.488887,3324817498.542777,2007055644.002842,1429976002.510000,380000000.600000,312088288.769071,493769283.187000,132232837.218261,112484142.571967,258566390.119683,73307190.570000,0,0,12399668.204560,0,181038194877.735199
2024-12-01,110997647739.114014,59814116070.198624,6333676347.814495,3331151274.153182,3436253506.181406,2259289771.719893,1429976002.510000,630000010.400000,396890244.709398,494044437.477000,155756786.126326,179321275.374384,292765125.145338,39553375.560000,0,0,12415541.158829,0,189802857507.642822
2025-01-01,113802300646.085571,60787448345.881065,12038841030.816877,3623373395.909342,3696595813.211462,2480296426.680333,1429976002.510000,670018233.449304,371451560.570455,492525926.377000,191642146.895312,323645539.235655,240444427.207325,99149569.560000,0,0,12113777.321648,0,200259822841.711395
