day,USDT,USDC,FDUSD,USDP,PYUSD,EURC,USDG,RLUSD,EURS,USDH,USDTB,MUSD,EURCV,total
2019-09-01,12004886284.612419,1359345942.346512,0,490771263.976354,0,0,0,0,2682409.764728,0,0,0,0,13857685900.700014
2019-10-01,16006342876.259533,1517535021.982498,0,490835692.995909,0,0,0,0,3304905.994524,0,0,0,0,18018018497.232468
2019-11-01,15128947855.928150,1448506494.759980,0,529353392.568937,0,0,0,0,5522881.717729,0,0,0,0,17112330624.974796
2019-12-01,13235339584.430489,1375110132.732737,0,447392335.106798,0,0,0,0,2504313.311645,0,0,0,0,15060346365.581669
2020-01-01,12117127968.912285,1922853570.365218,0,689966020.198112,0,0,0,0,1528056.350295,0,0,0,0,14731475615.825909
2020-02-01,15919929620.593576,1689044690.742843,0,525570718.117746,0,0,0,0,1899690.570141,0,0,0,0,18136444720.024303
2020-03-01,22154090985.716476,3692265132.972210,0,941692857.658212,0,0,0,0,4382253.582475,0,0,0,0,26792431229.929371
2020-04-01,21811301004.774303,2270748135.935866,0,641139879.118683,0,0,0,0,14400075.363457,0,0,0,0,24737589095.192310
2020-05-01,27708145397.378326,2228556442.047990,0,722138816.592071,0,0,0,0,2823348.976225,0,0,0,0,30661664004.994610
2020-06-01,31529678830.751427,3445908330.268237,0,617000808.343592,0,0,0,0,2155887.974332,0,0,0,0,35594743857.337585
2020-07-01,39247234184.277084,6684489096.089928,0,705029071.282900,0,0,0,0,1943285.615209,0,0,0,0,46638695637.265121
2020-08-01,55201790516.740219,8166306150.592798,0,738187325.818264,0,0,0,0,4165383.959158,0,0,0,0,64110449377.110443
2020-09-01,70025724216.869873,15337305257.535717,0,948510068.387648,0,0,0,0,1652756.375057,0,0,0,0,86313192299.168304
2020-10-01,52940234974.173691,12707564077.446438,0,733693595.279278,0,0,0,0,16216944.343087,0,0,0,0,66397709591.242500
2020-11-01,63927476883.739334,13382681695.817665,0,1107544805.691338,0,0,0,0,4262074.803773,0,0,0,0,78421965460.052124
2020-12-01,74145807777.888794,17316709748.605850,0,910108399.567216,0,0,0,0,11742349.454872,0,0,0,0,92384368275.516724
2021-01-01,118941050486.874664,38433798446.719574,0,1967517571.549505,0,0,0,0,79128084.146152,0,0,0,0,159421494589.289886
2021-02-01,149287273003.466461,42994732761.044106,0,1431961251.410589,0,0,0,0,48161244.155737,0,0,0,0,193762128260.076874
2021-03-01,169210637067.516937,46245555249.167221,0,1630319624.975382,0,0,0,0,40851512.201604,0,0,0,0,217127363453.861115
2021-04-01,229901554294.620850,66459023362.770111,0,2148708113.065277,0,0,0,0,60289705.096516,0,0,0,0,298569575475.552795
2021-05-01,333414471765.347168,122485270039.159454,0,2182324669.153927,0,0,0,0,170099453.541082,0,0,0,0,458252165927.201599
2021-06-01,173352136885.435944,89522614824.505646,0,2628807913.001143,0,0,0,0,198081732.392491,0,0,0,0,265701641355.335205
2021-07-01,145892125422.666443,79476410102.837067,0,952889428.331879,0,0,0,0,69649676.175972,0,0,0,0,226391074630.011353
2021-08-01,214966001457.336182,82962815686.557816,0,658608710.387055,0,0,0,0,79153052.701733,0,0,0,0,298666578906.982788
2021-09-01,219577172529.743225,100033076406.249908,0,2187819102.082702,0,0,0,0,81519756.655718,0,0,0,0,321879587794.731567
2021-10-01,231285419328.445312,102801459670.812027,0,1391136276.589560,0,0,0,0,73815528.298572,0,0,0,0,335551830804.145447
2021-11-01,281204286230.306641,116740102754.025269,0,1204056925.190917,0,0,0,0,112801090.651587,0,0,0,0,399261247000.174438
2021-12-01,267932827365.837402,120842164348.350616,0,1095353066.463360,0,0,0,0,134449845.696362,0,0,0,0,390004794626.347717
2022-01-01,205857544699.834839,112205693669.892761,0,481798129.587937,0,0,0,0,111343802.547529,0,0,0,0,318656380301.863098
2022-02-01,160125388512.723267,90589540723.160797,0,445070656.182211,0,0,0,0,52938796.901427,0,0,0,0,251212938688.967712
2022-03-01,198943262464.424408,124143723736.484131,0,540719150.282822,0,0,0,0,80793180.339969,0,0,0,0,323708498531.531372
2022-04-01,192812169823.039429,114993293341.705109,0,398325847.275280,0,0,0,0,121384748.089371,0,0,0,0,308325173760.109131
2022-05-01,265464531691.447876,202217501735.732361,0,744941677.854885,0,89.155876,0,0,124869724.357023,0,0,0,0,468551844918.547974
2022-06-01,214588751241.907562,163091977833.122894,0,496699349.892522,0,3310.068485,0,0,80519761.305461,0,0,0,0,378257951496.296936
2022-07-01,157250035758.915283,146289811326.692017,0,244285957.522964,0,3970917.446702,0,0,72505597.407322,0,0,0,0,303860609557.984314
2022-08-01,163354900124.664551,172254769967.970245,0,310682161.583781,0,77746526.885095,0,0,33718727.171827,0,0,0,0,336031817508.275452
2022-09-01,161184796685.024475,149625304240.205444,0,251508988.065806,0,49808548.356749,0,0,65806345.914426,0,0,0,0,311177224807.566895
2022-10-01,160242310303.437988,136903508060.011078,0,193381529.621583,0,90801058.010481,0,0,63061976.723045,0,0,0,0,297493062927.804199
2022-11-01,223934492041.875366,243044386968.049438,0,631166977.243401,500229.900000,132258911.839932,0,0,56570011.939571,0,0,0,0,467799375140.847717
2022-12-01,179602769970.025330,213779938604.879944,0,369005515.602840,0,12461622.856594,0,0,43182888.171281,0,0,0,0,393807358601.535950
2023-01-01,175780118234.443848,222985057252.359009,0,513211116.588730,377.880000,8459784.517834,0,0,37166396.402189,0,0,0,0,399324013162.191589
2023-02-01,184706305960.408997,144516159052.600128,0,1265451316.276460,75001235.128000,27384952.129983,0,0,23022873.187642,0,0,0,0,330613325389.731262
2023-03-01,261852085708.062256,189840962708.280090,0,1884897401.483179,815.274000,107990724.211423,0,0,54393220.272149,0,0,0,0,453740330577.583069
2023-04-01,210071507030.102539,81565407821.353302,0,1477545304.781551,0,63940381.071818,0,0,22194889.975340,0,0,0,0,293200595427.284546
2023-05-01,227223811038.934814,62297854222.989563,1532.520000,944023062.936146,0,65812543.993208,0,0,18118376.270996,0,0,0,0,290549620777.644775
2023-06-01,228313004107.782776,89982600444.245361,553.280000,570749227.815005,10040.000000,37227910.309138,0,0,11785529.011656,0,0,0,0,318915377812.443970
2023-07-01,206501939207.858856,72043144693.069443,23197165.560693,1063605679.162822,0,61602279.994869,0,0,10796032.638956,0,0,0,0,279704285058.285645
2023-08-01,214041968682.738831,78093595641.565460,381013416.180196,347724918.148767,6909748.075223,58710154.892756,0,0,7148781.115466,0,0,0,0,292937071342.716675
2023-09-01,197127538797.168457,60833194123.785561,112850106.430562,237808338.374310,17921732.342299,31122984.951820,0,0,6878705.109348,0,0,0,0,258367314788.162323
2023-10-01,213293799092.494171,76744612326.329712,168640141.011172,173823065.638307,25429984.479677,48034917.846300,0,0,12028726.267287,0,0,0,0,290466368254.066589
2023-11-01,244195944711.472351,79440264828.098557,299395243.397443,212910191.568370,34646734.390817,73232872.481182,0,0,8820007.406847,0,0,0,5763951.496303,324270978540.311890
2023-12-01,270815735084.858215,83619803866.063446,877723900.668836,278141391.145432,147460424.073272,119935292.406033,0,0,15930940.636777,0,0,0,576390.723534,355875307290.575439
2024-01-01,284207228861.025513,98610611106.007523,1222129573.985827,118620004.244053,185792446.964191,28843195.041715,0,0,5560876.206186,0,0,0,455288.573500,384379241352.048462
2024-02-01,259033071251.643433,94490579530.565460,1588099879.840628,401026993.749751,247603770.064912,28415752.747002,0,0,3440495.830387,0,0,0,449525.427000,355792687199.868591
2024-03-01,386132736072.713989,152527472329.935150,3234002062.610647,310830469.977707,397657886.624839,47271803.817029,0,0,14884839.422942,0,0,0,334262.497000,542665189727.599304
2024-04-01,347036529831.060364,142082015454.229126,5133463858.668797,164675610.402132,278028024.162340,73311036.076563,0,0,6123894.343581,0,0,0,92210.344000,494774239919.286926
2024-05-01,305782627064.812195,118215887933.613007,3851358509.147500,103274997.775260,194438004.025945,33152525.533908,0,0,11378631.227953,0,0,0,0,428192117666.135803
2024-06-01,297163711779.811035,110351470192.198608,3930443986.479576,81670326.791720,329610492.307531,23528318.189690,0,0,8226403.824504,0,0,0,0,411888661499.602722
2024-07-01,315173193753.538818,134814397046.071503,854754132.988421,69164283.809904,987714826.458992,52270194.035709,0,0,4945565.386762,0,0,0,599728.558121,451957039530.848206
2024-08-01,328768524974.285645,143468389919.908691,2439742785.502745,60504421.843886,2347888601.917693,122039765.326175,0,100.000000,4697773.647005,0,0,0,13.831552,477211788356.263367
2024-09-01,290776004100.844421,120006625832.630096,2491400559.410216,60167320.686998,1113752753.309239,286427848.786984,0,150175.000000,5072713.308001,0,0,0,940969.074321,414740542273.050293
2024-10-01,335955294192.709839,151236583728.782043,3288639681.944856,61711734.765040,1355793187.352324,600116834.609256,750711.000000,52159.990000,5694526.916146,0,0,0,230529.311270,492504867287.380737
2024-11-01,467843428526.616333,227714584527.060303,2808834778.404526,96684438.124425,1353546383.682469,1035054989.349888,18786624.460000,14120973.000000,24285907.223458,0,0,0,5245870.380600,700914573018.302002
2024-12-01,491983879232.011353,242356214798.824646,2507168890.654103,75069762.303199,1215994216.339892,773793343.470354,2841858.016272,3633537.818899,9475503.102292,0,10107176.389600,0,633947.268171,738938812266.198608
2025-01-01,435336043296.797363,278617176181.978760,2584599993.747702,55033981.619308,677385043.374011,2274948991.778351,5701371.058796,47327633.644610,6027624.957870,0,347441.395145,0,945919.181860,719605537479.533813
2025-02-01,418105463217.179321,264989364053.159851,1976060258.470309,40428638.296604,1193517143.515974,776936267.922809,85898222.644714,63675086.215012,4590747.313773,0,460319.847549,0,328759.602324,687236722714.168091
2025-03-01,421551873954.843750,258684714259.859314,2161098645.742124,80265649.290085,1009632733.678618,1258339641.816242,194856230.734611,53100475.289063,3495876.948047,0,3205735.376331,0,9946.004121,685000593149.582275
2025-04-01,420207708575.556702,295853633367.017273,3821055488.156821,79495051.901107,1074063254.116171,1207296992.663933,217392884.038657,88015127.785440,4768335.526492,0,12217768.644679,0,79416.048998,722565726261.456299
2025-05-01,481168469477.860596,266923090636.347687,885461984.672697,71655217.947499,1216741709.585465,1151560755.941662,318675524.262174,98252157.788320,4494583.774010,0,21029711.718546,0,133774.802219,751859565534.700928
2025-06-01,542990113045.882568,243313740221.647705,1607954571.098649,87332819.943095,1110486667.174458,1640246983.225008,277097822.103644,99563341.506825,5245713.191634,0,63955666.779256,0,6499954.652505,791202236807.205322
2025-07-01,572872062979.479248,339363134422.501587,1047393582.573085,62514449.579611,1618673506.969599,1829530300.763345,421711881.798581,159962011.124479,5037403.085710,0,106532949.021719,0,168634.804657,917486722121.701660
2025-08-01,528337623646.562012,387890420315.044861,1029799193.648233,68289064.008510,1562229043.306466,1642994235.542823,663582931.031855,215110944.933004,3755292.643085,0,121088719.503126,1342.313333,22619777.056673,921557514505.594116
2025-09-01,558068100493.308350,403886706432.075073,1201618595.556651,85783686.635230,4269001176.947842,1548184047.034504,987658564.154342,264952251.093589,3587477.182306,17654161.198756,189673809.664056,167272956.533035,8811428.707425,970699005080.091187
2025-10-01,686375588039.731689,772606057191.091064,934655538.504647,75594334.005706,2714672861.554086,1950861432.207863,990714259.433306,353534771.066900,6394160.072482,35793519.544647,65882412.071025,415801931.671890,58056607.292899,1466583607058.248291
2025-11-01,645163882471.498901,481623017478.447632,652905270.424489,117651913.715485,2885271739.554247,1949535592.604077,986651092.539958,269132349.995162,4157244.598198,81113281.291766,38837285.660274,140498198.553046,19922895.836398,1133932576814.719482
2025-12-01,529342477139.845093,483682466422.038330,998827089.552707,67649053.269888,1989045070.885599,1711526053.756184,792480241.265931,331506746.991456,2925343.483196,318715509.502110,20702242.522322,31020530.974985,35836760.585280,1019325178204.673218
2026-01-01,508155244331.101440,625866305036.467773,476874462.898987,49821768.241609,3154298437.655875,1286404833.123196,868969357.464892,243374398.298824,2010085.347240,264299241.810928,50343655.073827,83908188.661708,29892262.427233,1140531746058.573486
2026-02-01,492442141618.982971,1277692090477.798096,318945878.464005,34339273.292142,3144098705.397480,1564303743.311991,788996416.682165,374757040.468291,2243654.817117,187942671.372860,193014301.870169,68033456.709363,30593411.764444,1776841500650.931152
2026-03-01,582203463556.216919,871049704087.731934,140365982.829864,13273302.102628,3308004718.922687,1430277695.652011,826911848.656488,804949090.958410,885280.841278,180888481.776944,72067780.590902,36521413.120536,54366446.925331,1460121679686.325684
2026-04-01,482855071767.733398,753236819184.258789,102236311.279153,14205502.962738,3459248318.671542,1029562253.393313,1512436584.206870,1060030728.021783,360120.064033,176746933.893709,171397144.646912,30264474.723920,116110130.428342,1243764489454.284180
2026-05-01,502078423205.013611,596708283075.820312,272124531.593351,19570856.369930,2323340585.196959,1109005587.846342,3015111106.791635,832753527.849842,257257.258358,283554731.057437,220521080.718067,33929897.163007,166099507.091074,1107062974949.770020
2026-06-01,150460258282.235046,274140768796.997345,47557069.486884,2351942.994826,778129625.720316,356385484.915138,364123931.784498,285340218.670128,271011.433953,31983265.111167,87315584.946314,16458099.210437,8029066.037777,426578972379.543823
