day,aave,compound,morpho_blue,venus_finance,maple,fluid,euler,benqi,iron_bank,reserve_lending,spark,lodestar_finance,radiant_capital,banker_joe,blizz_protocol,moonwell,uwulend,strike,percent_finance,lista_dao,seamless_protocol,hyperlend,kinza_finance,apple_lending,hundred_finance,annex_finance,cream_finance,centrifuge,ola_finance,atlantis_loans,hypurrfi,sturdy,nereus_finance,granary_finance,easy_finance,fortress_protocol,tender_finance,hopelend,neku,zerolend,extra_finance,goldbank_finance,sake_finance,channels_finance,paribus,portler,native_lend,aquarius_loan,filda,mahalend,avalon_finance,total
2022-07-01,68644550617.813553,17444316074.218025,0,3989955916.600322,0,0,0,2015642395.233833,680075726.636152,8781223.035561,0,0,811292237.004790,109950264.979491,102921619.275556,0,0,562060632.180481,183906409.666883,0,0,0,0,126109959.850574,3471462.694160,55461793.216680,80976232.025327,106976066.383610,121257339.667518,6270544.634908,0,34830808.204660,170746826.698061,3500041.633118,9443959.039106,3507800.669218,0,0,4964223.724916,0,0,0,0,19039.805990,0,0,0,0,68569.357387,0,0,95281057784.249878
2022-08-01,76938656366.980255,19021065991.660694,0,4192345456.858311,0,0,0,2147144466.467402,775576168.793149,8767877.801748,0,0,5578904950.659010,110750535.665218,102921619.275556,0,0,560113121.620659,183906409.666883,0,0,0,0,126109961.088697,3553373.354754,39312663.288022,58609421.720729,90146541.757416,130282349.247816,5998865.201097,0,116994070.799477,148162687.643402,6820791.662657,9443532.919918,3398137.625264,0,0,5251012.901389,0,0,0,0,15099.124636,0,0,0,0,68359.870391,0,0,110364319833.654572
2022-09-01,59820382371.784439,16290996620.962656,0,3646925961.562230,0,0,0,1282089607.984599,755258663.970315,8495057.299579,0,0,3583251961.667661,89702853.840561,99601567.040861,0,0,542807216.729453,177973944.838919,0,0,0,0,122041897.827771,4938599.665706,34595514.906811,26406120.804396,83703958.557891,108978319.756179,6472914.035352,0,134703799.811486,140829674.745144,6683964.921096,9138909.227939,3161165.994879,0,0,5521060.416908,0,0,0,0,18419.882565,0,0,0,0,67287.596039,0,0,86984747435.831451
2022-10-01,50950690692.183792,17588655782.821411,0,5460910931.214085,0,0,0,893564835.688625,732272795.888482,8607326.982243,0,0,1600615739.296710,187338173.493999,102921619.275556,0,1474380384.451546,562123598.806854,183906409.666883,0,0,0,0,126109961.088697,7791993.877359,29464270.353799,17430169.030317,86687279.549612,117907370.082056,6930419.869329,0,197327817.149852,144035246.773695,11642266.745538,9443637.743346,3355690.296362,0,0,5705095.764138,0,0,0,0,5377.046499,0,0,0,0,69828.651512,0,0,80509894713.792328
2022-11-01,34369592228.422157,14848324778.352308,0,5587323543.650155,0,0,0,469431410.990697,597510978.580361,7637530.192759,0,42106713.908130,1525240679.259722,140340807.784663,99601567.040861,0,1776968570.633229,515322308.213653,177973944.838919,0,0,0,0,122041897.827771,3734827.606963,16572425.025307,15659508.156948,83861632.209847,102022810.071522,6856360.611729,0,168519926.725183,121775344.197647,11661434.883988,9138981.704690,3164136.112860,153.265262,0,5521060.416908,0,0,0,0,6542.991973,0,0,0,0,67232.400931,0,0,60827979336.077148
2022-12-01,30237277505.119274,13640685785.166912,0,5715842353.351976,0,0,0,401043054.928099,602281685.983662,7768205.822642,0,1779783873.674587,1626629997.952290,136467047.906951,102921619.275556,0,1662393456.624285,351846868.877011,183906409.666883,0,0,0,0,126109961.088697,3375108.826626,8013076.540061,8453828.395149,85484333.619861,77621291.229527,6603189.716998,0,186714955.469470,78869581.393425,10715325.278608,9443551.005868,3255448.182406,50335.289481,0,5705095.764138,0,0,0,0,3488.523030,0,0,0,0,69382.203388,0,0,57059335816.876877
2023-01-01,32029104680.130703,14033408836.962481,0,5755979303.770355,0,0,0,364318189.345427,616307146.373278,7841560.179033,0,2428507082.274129,2140126979.573238,135724403.987644,102921619.275556,0,1546314298.890349,302641620.831667,183906409.666883,0,0,0,0,126109961.088697,2935949.313030,7250705.773639,7863358.459981,84704984.671833,73973806.629297,5398096.864605,0,190959820.140206,38090818.014758,14598153.768229,9443537.237435,3286655.763083,5025543.973040,0,5705095.764138,0,0,0,0,2912.506009,0,0,0,0,77153.105548,0,0,60222528684.334267
2023-02-01,32027415209.201183,15100315068.472164,0,5752214550.514925,0,0,0,395918928.762939,604962075.727692,7135216.383498,0,2193320977.116486,4488910918.147977,118669667.675377,92961462.571470,0,1447501221.016255,274581405.410985,166109015.182991,0,0,0,0,113905771.305920,5749257.444400,6610201.574663,7159316.892328,76720073.288242,73402207.998771,5971950.497951,0,160545405.776529,12538681.178206,17041560.563290,8529635.951638,3070030.652418,18465077.201252,0,5152989.722447,0,0,0,0,2644.635361,0,0,0,0,72085.004026,0,0,63184952605.871399
2023-03-01,35097295263.773155,16134143927.484890,0,7202455807.406364,0,0,0,394812841.718611,548718544.202376,7990744.151484,0,2428319654.539594,5273456058.902517,117313932.712060,102921619.275556,0,1724499229.800595,290096614.761853,183906409.666883,0,0,0,0,126109961.088697,9905191.895026,6206957.075382,8029447.761707,85422710.134048,75872407.655567,5484034.668605,0,171637718.972501,11565991.130355,21820998.837929,9443529.644127,3504223.328008,21374912.737410,0,5705095.764138,0,0,0,0,2945.692960,1025.945287,0,0,0,13182.237917,0,0,70068030982.965607
2023-04-01,33709716098.314045,15932700829.186342,0,7186548065.985673,0,0,0,406276147.930715,510561371.472817,7818531.101963,0,2695331525.782954,4483788719.780946,87420263.190606,99601567.040861,0,1662093612.868797,275564962.194704,177973944.838919,0,0,0,0,122041897.827771,46751516.110294,5773950.047471,7969139.360214,82858480.842948,55590209.007572,1975700.111416,0,172065571.861078,5773925.203462,21793007.362185,9138902.190067,3572493.439535,29611328.622777,0,5521060.416908,0,0,0,0,2866.391376,1013834.186804,0,0,0,5517.010450,0,0,67806855039.681664
2023-05-01,36374172092.608246,17198509474.837868,0,7239637611.754030,0,0,0,388422766.150901,530717465.145404,8067407.419753,0,2820299000.001663,4753177880.444597,69411223.387103,102921619.275556,0,1693264518.874918,166020100.806977,183906409.666883,0,0,0,0,126109961.088697,82038709.174916,5607297.167962,8813068.334546,85902116.588238,43643300.515565,1705381.864517,0,173101395.433876,4247608.628125,282333918.262177,9443525.673353,3816365.242397,65150677.299402,0,5705095.764138,0,0,1360159.699231,0,203492.417748,1579411.957566,0,0,0,197.104241,0,0,72429289252.590637
