day,ethereum,tron,solana,bsc,base,arbitrum,polygon,avalanche,optimism,aptos,plasma,sui,ton,stellar,celo,hyperevm,worldchain,linea,stable,codex,total
2019-10-01,15280667059.959822,2737372206.417671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18018039266.377495
2019-11-01,15449423519.031830,1662941761.791639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17112365280.823469
2019-12-01,13679470163.385483,1380891916.656062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15060362080.041544
2020-01-01,12969074261.063923,1762411039.890813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731485300.954735
2020-02-01,15272586394.205353,2863870398.231114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18136456792.436466
2020-03-01,23363233031.168911,3429225785.074656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26792458816.243568
2020-04-01,21683223727.365147,3054455727.689677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24737679455.054825
2020-05-01,25108486874.111126,5553196664.324047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30661683538.435173
2020-06-01,30725364253.163685,4869393132.279561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35594757385.443245
2020-07-01,38761127117.895935,7877581806.487963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46638708924.383896
2020-08-01,47416390680.916885,16694084833.801365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64110475514.718246
2020-09-01,61000041332.200737,24640787495.570168,0,662543142.129172,0,0,9831925.820188,0,0,0,0,0,0,0,0,0,0,0,0,0,86313203895.720261
2020-10-01,51767536719.454163,14040185197.267481,45042772.380444,466934605.684228,0,0,78114264.462588,0,0,0,0,0,0,0,0,0,0,0,0,0,66397813559.248901
2020-11-01,58691341858.886063,19294549010.557144,32264386.219783,373546857.497883,0,0,30290397.230482,0,0,0,0,0,0,0,0,0,0,0,0,0,78421992510.391357
2020-12-01,69838557160.615936,21879505123.929642,132120813.449650,510251383.351365,0,0,24010367.915267,0,0,0,0,0,0,0,0,0,0,0,0,0,92384444849.261856
2021-01-01,113851744895.790680,44670840762.324364,140257372.559222,689131844.181398,0,0,70018182.368107,0,0,0,0,0,0,45.440000,0,0,0,0,0,0,159421993102.663788
2021-02-01,119894906771.172318,69425604468.703262,587208716.621304,3708828870.477546,0,0,60879659.022613,0,0,0,0,0,0,85007102.124624,0,0,0,0,0,0,193762435588.121674
2021-03-01,125464459434.524261,81003303560.482361,705345453.404009,9795114292.825645,0,0,139056500.033487,0,0,0,0,0,0,20340556.808817,0,0,0,0,0,0,217127619798.078583
2021-04-01,150099190406.778809,122665984414.859985,2910987220.038932,20189412882.084175,0,0,2675896489.906898,0,0,0,0,0,0,28506127.227858,0,0,0,0,0,0,298569977540.896667
2021-05-01,229909762309.992310,186073759270.413574,3034515050.158055,23512629572.981445,0,0,15662175953.847313,0,0,0,0,0,0,61497203.515424,0,0,0,0,0,0,458254339360.908142
2021-06-01,152735297769.909363,82689571447.380005,1056107316.882399,11972390884.093086,0,666.102000,17202856997.996708,0,0,0,0,0,0,48155162.237250,0,0,0,0,0,0,265704380244.600769
2021-07-01,139482340565.500793,67281882858.359558,1261535588.062212,9230199389.145010,0,9501.714143,8906546015.161589,25260.065299,0,0,0,0,0,18990145.463153,0,0,0,0,0,0,226181529323.471802
2021-08-01,155866927013.947784,118505208080.570068,4411666109.651886,12556016603.107464,0,149888.120637,6233532544.037829,929347398.890564,0,0,0,0,0,24441537.086327,0,0,0,0,0,0,298527289175.412598
2021-09-01,161773231642.402161,122289846410.986908,13811155835.428190,14397515505.980749,0,1029219611.327372,5439498857.029850,2954226615.646536,0,0,0,0,0,189393761.091952,0,0,0,0,0,0,321884088239.893738
2021-10-01,169682991349.533203,125292971323.544861,10566458481.337612,16262284201.707184,0,1517120733.324297,6784732839.999894,5389697719.123850,0,0,0,0,0,39520998.455350,0,0,0,0,0,0,335535777647.026123
2021-11-01,181534158419.398926,166204718819.704437,14984112870.002975,21178671459.236488,0,1764993116.874987,5588156398.590502,7765295471.649912,69757152.012706,0,0,0,0,179552367.298263,0,0,0,0,0,0,399269416074.769287
2021-12-01,184370536289.786102,158214036493.758545,14202344259.160648,18472262679.233776,0,1377861678.787228,7130086948.753303,5887478124.169010,113462686.533574,0,0,0,0,209945779.550877,0,0,0,0,0,0,389978014939.733093
2022-01-01,165050227966.394745,113720229144.554596,8648766842.875874,17142677016.219557,0,1798891813.491311,7360319379.297163,4548430281.131958,126264666.580526,0,0,0,0,180928095.728039,0,0,0,0,0,0,318576735206.273743
2022-02-01,125316214880.639145,92180159590.570007,5857604206.852855,14477668717.952599,0,1644066424.951488,7227986734.933495,4153503421.172792,108865806.173635,0,0,0,0,111114111.879329,0,0,0,0,0,0,251077183895.125366
2022-03-01,166159844305.218567,120227113846.571075,6642183099.596016,18622527589.140434,0,1806151622.529827,4502830477.169373,5329560723.609318,192485224.084778,0,0,0,0,155963705.279571,0,0,0,0,0,0,323638660593.198975
2022-04-01,144092305284.122620,121436368657.718063,7312943179.328674,20077520408.437973,0,1562460602.086025,4349196311.290987,8971603828.443775,234313815.196536,0,0,0,0,83200505.753192,0,0,0,0,0,0,308119912592.377869
2022-05-01,228608062280.765564,167019776069.730835,8255613942.749399,24529910044.499947,0,1921343580.930744,26729952187.566978,10415294526.539719,378677313.401138,0,0,0,0,142549931.224493,0,0,0,0,0,0,468001179877.408752
2022-06-01,187448500927.707092,145975429555.746674,4245625308.303915,18152201492.873154,0,1267710522.651040,9383040704.406563,10709634426.995182,542668140.976594,0,0,0,0,119123551.735760,0,0,0,0,0,0,377843934631.395996
2022-07-01,163255640102.794189,108492945449.865173,2620248959.082948,16399722688.899855,0,1198044638.427341,4828831828.973709,6185664419.274252,527358564.070333,0,0,0,0,57008330.909409,0,0,0,0,0,0,303565464982.297180
2022-08-01,186237552856.173248,117679751281.217163,3098303804.615201,14043707512.319225,0,1733602034.692349,6358860151.759645,4522268177.812829,3201515876.202576,0,0,0,0,39792690.347433,0,0,0,0,0,0,336915354385.139526
2022-09-01,168261931519.913818,114400759108.066956,3757942857.117656,13910300915.943718,0,2223050932.640373,6477363162.709593,3191642429.150226,1162173586.596700,0,0,0,0,93181588.644275,0,0,0,0,0,0,313478346100.783325
2022-10-01,156595878926.467407,116385542874.584503,4176521914.685007,11588991386.841892,0,2179346553.841203,4639060120.008544,2464098279.946228,1313309092.832052,0,0,0,0,64527562.171888,0,0,0,0,0,0,299407276711.378723
2022-11-01,284983838864.668274,143865310736.081055,7231296152.632616,15226341957.548981,0,4854381034.446966,6887470550.829344,3437152976.652233,3243891301.799832,0,0,0,0,78284531.245020,0,0,0,0,0,0,469807968105.904236
2022-12-01,247092607129.347900,123755291398.150879,1088923207.382041,11063558371.163513,0,3000337645.391185,4058882295.228436,3007966068.260211,2116914590.209446,0,0,0,0,79290556.151549,0,0,0,0,0,0,395263771261.285156
2023-01-01,263225624718.155823,116975830665.952911,1448075700.434072,8571075123.923865,0,2595338646.301006,4029025149.561799,2641144440.586669,4309534020.796574,0,0,0,0,75043742.364669,0,0,0,0,0,0,403870692208.077515
2023-02-01,170810685063.871277,128272122768.027908,2720139576.636738,11076898571.774317,0,4814613784.479918,5124623272.270458,2441952174.991241,7340512629.403517,0,0,0,0,107252821.367404,0,0,0,0,0,0,332708800662.822693
2023-03-01,261284236657.828918,165829021206.767090,2394614013.938307,18809834925.468979,0,11349608079.680479,7220507975.304545,4037959167.480611,7316093181.321144,0,0,0,0,63815645.078626,0,0,0,0,0,0,478305690852.868713
2023-04-01,126803487355.079758,139780499327.220703,1285270312.378784,21355400777.018330,0,10476450289.285828,5520601946.373224,2431077604.821618,4663908695.932281,0,0,0,0,37416560.551169,0,0,0,0,0,0,312354112868.661621
2023-05-01,99153265728.751007,153521131908.187439,1308081327.132409,23888674908.816589,0,8173680989.082182,5508765108.209102,2997908179.667368,2613740775.884147,0,0,881333.981923,0,32943154.686130,0,0,0,0,0,0,297199073414.398315
2023-06-01,158654642879.390747,153405484245.166260,1423829644.244255,14920646971.738520,0,10451031378.348389,6619369593.280411,3917832054.890048,1742955329.396003,0,0,10351.362854,0,36251983.083159,0,0,0,0,0,0,351172054430.900635
2023-07-01,117120299292.134521,144077748418.020477,1331463929.049355,15068465237.418522,0,11359604502.078724,5422148314.800422,2922292795.384324,2136878924.314786,0,0,124086.521520,0,94411061.367806,0,0,0,0,0,0,299533436561.090454
2023-08-01,131752407415.404297,146507595806.261597,1375568943.696561,15292906462.544580,152.690000,10815007510.974098,5205151371.799911,2501996313.350305,2172481578.616369,0,0,354685.423533,0,56972940.533711,0,0,0,0,0,0,315680443181.294922
2023-09-01,113050130506.464874,141844339015.058411,1194151194.156601,13849486042.304277,303998590.621882,5416911858.043169,3085286362.587023,1575316966.713103,1140596761.476291,0,0,2883667.634544,0,31468778.002249,0,0,0,0,0,0,281494569743.062439
2023-10-01,133064806169.507233,151319814409.719727,1928296170.316797,13350533617.987404,195945392.127216,8459875268.510330,4081578188.580780,1638899915.451628,1252078136.818224,0,0,41342955.711435,0,44178335.815791,0,0,0,0,0,0,315377348560.546448
2023-11-01,125096189806.444458,168656387571.732605,3641857840.101527,16046486907.510990,104158906.986150,12403314610.066620,4861256007.544811,2481968278.094297,1514752245.638329,0,0,81284406.419046,0,56330761.147658,0,0,0,0,0,0,334943987341.686401
2023-12-01,131334347469.739838,181342934433.810303,9546703830.583038,21587899609.036430,355808725.700878,12616169181.178345,5907491644.059252,3407652296.022860,2185142085.695109,0,0,75861675.770268,0,44151451.018019,0,0,0,0,0,0,368404162402.614380
2024-01-01,158106160398.474915,189914999820.214417,10302907850.928192,21851242661.262283,384613541.756399,14095173640.684532,5448524483.494115,3804171054.892794,1825897743.144116,0,0,118240862.176092,0,62041468.640846,47.150000,0,0,0,0,0,405913973572.818787
2024-02-01,136990763780.708008,168433300072.381622,13274555268.030991,21907579001.148178,455496502.354003,14063684068.901770,6527295042.202585,5110554163.542877,1780043784.904667,0,0,166284677.560962,0,62359462.716369,470491.354925,0,0,0,0,0,368772386315.806946
2024-03-01,216029927656.089600,234486491172.416321,22474431675.740822,40966688247.220490,2561678314.667122,23176953137.282257,9362965582.578770,8150449831.838383,3588209402.895470,0,0,115747623.951482,0,117599620.540279,5712842.963619,0,0,0,0,0,561036855108.184814
2024-04-01,210398711160.503571,222495721314.972961,16190328936.033274,31129192282.883377,4824497591.588669,19428971172.020897,7163749774.686630,6367090438.350907,4396702668.867906,0,0,132625511.865907,92809647.199072,118852139.865062,42905710.462282,0,0,0,0,0,522782158349.300537
2024-05-01,192636982806.984314,198688075905.177185,13420790407.362442,23119826072.715771,4056537298.937549,16484422940.230015,6145735179.509560,6275897797.841175,3471772544.524524,0,0,214139304.112867,427839139.576560,134172877.065818,48212762.302002,0,0,0,0,0,465124405036.339783
2024-06-01,165812053383.102936,197015955794.200806,13740769694.026154,23304461264.848351,8201815356.831121,13847722703.608028,5572576759.571154,5574280136.359492,3152913158.266453,0,0,87690481.313262,626368118.280525,139673011.460606,147307557.201790,0,0,0,0,0,437223587419.070618
2024-07-01,185207078111.012817,207784756231.524536,16854258601.979404,20376892899.267082,11227001954.739342,20592048846.180359,6349966326.546342,5918333906.426897,2761362105.726527,0,0,83909143.781482,747798930.495093,160259416.371232,189522423.774076,0,0,0,0,0,478253188897.825134
