day,ethereum,avalanche,bsc,base,polygon,arbitrum,plasma,optimism,hyperevm,worldchain,ink,linea,celo,soneium,stable,total
2023-12-01,63558012087.186943,2294558120.558567,8743397507.046700,176241773.527174,3229770782.908831,6902039495.253395,0,835781030.172312,0,0,0,0,0,0,0,85739800796.653915
2024-01-01,69385733459.478134,2434856405.068486,10241407767.553347,234505922.899894,3398177393.459455,6755508876.408304,0,889440142.925272,0,0,0,0,0,0,0,93339629967.792892
2024-02-01,67700868154.244919,2343144683.310488,10401140786.141382,279353191.252566,3378097286.386095,7079877235.872155,0,863920042.216690,0,0,0,0,0,0,0,92046401379.424301
2024-03-01,92969584589.901260,3100305902.917098,12488368504.707085,769158546.928069,4175239518.959524,9079444174.451759,0,1224274083.471554,0,0,0,0,0,0,0,123806375321.336365
2024-04-01,95897944416.568893,3112028383.057119,11289299221.485601,1930361987.465345,3798091519.540778,8738904223.971800,0,1385368975.141364,0,0,0,0,0,0,0,126151998727.230881
2024-05-01,103955797625.955688,3103875600.596616,11578279954.688313,3009842776.665970,3804334573.427755,10162040757.998486,0,1480706663.432254,0,0,0,0,0,0,0,137094877952.765076
2024-06-01,117132984765.665070,3153607270.122083,11558081851.487144,4108976864.494991,3766084883.664175,11884266672.791880,0,1559474505.879477,0,0,0,0,0,0,0,153163476814.104828
2024-07-01,119115816301.731232,4196960801.287393,12024308172.966284,4691806100.125954,3653557092.055874,12815665112.292189,0,1799203753.878082,0,0,0,0,0,0,0,158297317334.337006
2024-08-01,110204049818.606339,5974918012.703793,11450358503.565680,4054877365.584837,3123726036.043266,11118293914.819891,0,1691074273.987596,0,0,0,0,0,0,0,147617297925.311401
2024-09-01,111950022527.440231,6451698690.509624,11355727543.287107,3800701936.585374,2950240626.677062,10556060631.047190,0,1691797483.504956,0,0,0,0,0,0,0,148756249439.051544
2024-10-01,131963699004.163971,9210040323.351883,12036928537.224865,5055284004.598175,3177577202.106858,11461097343.540470,0,2132820540.560097,0,0,0,0,0,0,0,175037446955.546326
2024-11-01,149427365466.095703,6670711070.007380,12190429500.314219,6976610650.319270,3361754037.933163,12474256756.871178,0,2456335519.245619,0,0,0,0,0,0,0,193557463000.786530
2024-12-01,193916297870.375244,6582810788.082023,13560382447.277317,9053775859.082708,3801555817.470279,16011954319.185640,0,2760388298.755355,0,0,0,0,0,0,0,245687165400.228546
2025-01-01,215441696691.557312,5842128473.203043,13570022936.690737,10279326959.933611,3872747673.409446,15616802784.808966,0,2442976695.804096,0,0,0,0,0,0,0,267065702215.407227
2025-02-01,195990904101.946289,4576446757.460595,12129311256.636961,9845015094.570560,3182747612.372277,12484758192.126760,0,1957266504.564494,0,0,0,0,0,0,0,240166449519.677948
2025-03-01,209348293227.743958,5262007840.498586,12854463246.522280,10942269013.393894,3026745406.042213,11912841464.077627,0,1720823244.475774,0,0,0,0,14627302.539155,0,0,255082070745.293488
2025-04-01,205655339113.616364,6481101978.256426,12065821974.425255,10547467026.110487,2983580422.235948,10661364875.928358,0,1351137903.411853,0,65.097750,0,0,3156592.777327,0,0,249748969951.859772
2025-05-01,262151286580.683624,9305022749.113964,11368109770.983885,16030317107.422329,3826318469.691079,12381409031.252222,0,1576642656.768673,418736871.861217,130533451.136508,0,0,3369395.413538,0,0,317191746084.326965
2025-06-01,297090138519.186829,8819545571.136715,12154171259.136629,21253647751.554642,3937944669.885483,12870054587.621124,0,1599826746.032853,1432975263.183714,218407415.945884,0,0,16507855.072249,0,0,359393219638.756165
2025-07-01,384113166649.979248,9644697201.448589,13461125934.407684,26970884849.002529,4197814205.045968,15182635250.852844,0,1804483632.753779,2423352442.281791,318306184.266693,0,0,74382249.346424,21471436.097224,0,458212320035.482849
2025-08-01,493777204409.137024,10474071506.861757,14958939670.953667,32706786254.882072,5201794944.445155,16098482575.660976,0,1771879983.581877,4597517890.971639,412578438.455217,0,0,165594273.229729,31167954.574427,0,580196017902.753662
2025-09-01,528083083088.274414,10804746632.362297,14444501265.317713,36465167059.408615,4818723479.679796,22187009694.575573,13147665605.975697,1578375080.959022,6241143456.951907,630857386.311356,0,104855846.863108,173679209.688507,29741298.672320,0,638709549105.040405
2025-10-01,514877269685.919861,12271367476.144417,13871805669.830366,42853202079.939606,4705201597.305958,27831839675.248318,86594932956.891052,1493225577.590868,5956299478.688735,1309379821.830761,124617997.918890,1926646013.296920,196178300.530531,29859598.756061,0,714041825929.892334
2025-11-01,469304492756.985413,9014598752.463455,10313266592.304890,40199678888.024239,3887785931.383458,22257032317.480736,63452899480.775261,1411646162.788158,4775033888.050240,894902077.150172,678038400.600570,120943932.055341,182508524.518280,21468313.742153,0,626514296018.322510
2025-12-01,469215010747.649841,8361781593.359532,10829589471.068424,63351866201.859612,3144589580.997299,22281391057.644596,69319897099.199585,2158917950.550783,3734903957.348405,666429725.087847,764684709.884110,8378625.993877,143812633.798226,9934176.175593,10.578455,653991187541.196289
2026-01-01,493700719434.540039,7912614439.205126,12726749670.662872,77891505255.057037,2740858576.462854,24829777949.116440,69759544387.593552,2507485969.517065,2805844266.450029,557211437.214694,762994318.375619,11172125.999160,155044927.467446,8609485.345634,25.095137,696370132268.102661
2026-02-01,383566358670.008545,5215008042.042879,8482178716.703943,67287485622.153358,2063645838.132081,17687590836.992989,51658522919.539429,1968311541.647439,2366396152.413702,437192448.615192,451950984.548016,4026510.525825,125363570.227831,2805939.889969,24.649349,541316837818.090576
2026-03-01,287697451857.743958,3702761802.701503,5932469663.196831,50255872101.868126,1504673657.516890,11710920834.351524,32796672022.112873,1332348542.680655,1763480094.882738,345824996.950552,341321940.038151,2449295.187811,84010513.044290,3096524.724982,18.487011,397473353865.487854
