day,USDT,USDC,FDUSD,PYUSD,USDP,USDTB,USDG,RLUSD,EURS,EURC,EURCV,USDH,MUSD,total
2020-06-01,8920560493.170473,985540179.880000,0,0,241123246.700000,0,0,0,37180058.986586,0,0,0,0,10184403978.737059
2020-07-01,9850192114.031847,1080262825.750000,0,0,253716532.770000,0,0,0,37180058.986586,0,0,0,0,11221351531.538433
2020-08-01,12370037988.110901,1477999422.210000,0,0,268458041.740000,0,0,0,37180058.986586,0,0,0,0,14153675511.047485
2020-09-01,14429839175.470215,2533902792.530312,0,0,293973832.600000,0,0,0,37180058.986586,0,0,0,0,17294895859.587112
2020-10-01,15774190424.845432,2964549028.720850,0,0,430492715.570000,0,0,0,37180058.986586,0,0,0,0,19206412228.122871
2020-11-01,18187724988.763062,2997700945.221575,0,0,404707843.400000,0,0,0,37180058.986586,0,0,0,0,21627313836.371223
2020-12-01,20037511915.052525,3962904561.954535,0,0,335773305.380000,0,0,0,37180058.986586,0,0,0,0,24373369841.373650
2021-01-01,25812442493.184788,5976919720.959550,0,0,655465622.310000,0,0,0,43552155.964811,0,0,0,0,32488379992.419147
2021-02-01,34312355431.891991,9363830730.972902,0,0,892368327.610000,0,0,0,55178478.964811,0,0,0,0,44623732969.439705
2021-03-01,41100478986.357742,11146228259.947779,0,0,972530167.630000,0,0,0,55178478.964811,0,0,0,0,53274415892.900330
2021-04-01,52100478988.245743,14797481006.527773,0,0,1181774345.210000,0,0,0,78433635.983174,0,0,0,0,68158167975.966690
2021-05-01,63100478988.245743,22810930704.756672,0,0,1230431046.890000,0,0,0,90834252.330225,0,0,0,0,87232674992.222641
2021-06-01,63095955600.742325,25229535190.284401,0,0,840297105.240000,0,0,0,103041937.985517,0,0,0,0,89268829834.252258
2021-07-01,63193925770.487480,27423822710.814278,0,0,926059238.070000,0,0,0,103225040.155854,0,0,0,0,91647032759.527618
2021-08-01,66256273221.642319,27430768801.155880,0,0,981107435.390000,0,0,0,104624520.920045,0,0,0,0,94772773979.108246
2021-09-01,70994865463.325287,31559289999.721214,0,0,922728348.430000,0,0,0,104540856.330183,0,0,0,0,103581424667.806686
2021-10-01,70967033272.256042,33087616336.251793,0,0,958052822.190000,0,0,0,104694758.862416,0,0,0,0,105117397189.560257
2021-11-01,75962183265.083679,38543720487.174423,0,0,1137578746.020000,0,0,0,106174122.754913,0,0,0,0,115749656621.033020
2021-12-01,81212183265.971680,43075172679.702019,0,0,1034611244.960000,0,0,0,118337406.459551,0,0,0,0,125440304597.093262
2022-01-01,78503100590.201019,50303962741.848953,0,0,1044751271.400000,0,0,0,124708543.056991,0,0,0,0,129976523146.506958
2022-02-01,80602904584.135498,53661074833.782135,0,0,1022049496.790000,0,0,0,136368425.229057,0,0,0,0,135422397339.936676
2022-03-01,83893792692.603210,52196842338.771530,0,0,965987169.730000,0,0,0,148520797.536549,0,0,0,0,137205142998.641281
2022-04-01,84092152307.251892,50013341703.639404,0,0,1012606434.020000,0,0,0,149708600.244528,0,0,0,0,135267809045.155823
2022-05-01,78091823173.193268,54455341475.715675,0,0,955591967.810000,0,0,0,149393507.696169,34.878969,0,0,0,133652150159.294067
2022-06-01,66988565861.083771,56400665208.788971,0,0,855198232.850000,0,0,0,148862075.203480,2541.886250,0,0,0,124393293919.812469
2022-07-01,66985176912.424774,55153821876.166824,0,0,868718810.250000,0,0,0,147821832.903417,1186108.264412,0,0,0,123156725540.009430
2022-08-01,67982983351.326675,53128591542.744690,0,0,965330840.190000,0,0,0,147408973.977129,88928920.239315,0,0,0,122313243628.477814
2022-09-01,68981650430.882111,48945302814.786583,0,0,915859695.510000,0,0,0,146762006.352918,88990830.002369,0,0,0,119078565777.533981
2022-10-01,70967966846.507111,46248452434.163246,0,0,898543285.180000,0,0,0,151304242.760277,90599620.180361,0,0,0,118356866428.790985
2022-11-01,71967517676.960632,46860246981.433853,0,1100336.220000,767404706.950683,0,0,0,146347713.587094,29593526.603254,0,0,0,119772210941.755524
2022-12-01,71963889021.484924,48430275245.381058,0,1100336.220000,867695093.830683,0,0,0,147851584.245426,28956127.152214,0,0,0,121439767408.314316
2023-01-01,71960857264.950012,46358286798.712471,0,1100337.220000,969514796.670683,0,0,0,147173229.595075,36131497.017673,0,0,0,119473063924.165909
2023-02-01,72949995962.605347,46462601538.979736,0,2000000.000000,766369356.990683,0,0,0,147091649.907212,34675644.735895,0,0,0,120362734153.218872
2023-03-01,81949936116.706665,36758651824.804199,0,2000000.000000,757552716.460683,0,0,0,147916995.543057,36120791.418071,0,0,0,119652178444.932678
2023-04-01,83948839441.055191,34797016441.738396,0,2000000.000000,1041056795.450683,0,0,0,147277680.969213,56005167.917641,0,0,0,119992195527.131119
2023-05-01,84948839439.829773,33147498448.801350,532.520000,2000000.000000,1027011081.220683,0,0,0,146253809.438787,55989457.988204,0,0,0,119327592769.798798
2023-06-01,84594729907.083710,31665753841.185543,1073.800000,2000000.000000,986890935.850683,0,0,0,146467664.605365,55710121.684673,0,0,0,117451553544.209976
2023-07-01,85590458386.090378,30757317929.483818,21194355.120000,2000000.000000,549583263.470683,0,0,0,145806325.415888,55487431.093931,0,0,0,117121847690.674698
2023-08-01,84390458266.358215,30503296155.885132,362796795.420000,44376440.450000,505170765.450683,0,0,0,145818555.633357,57231097.698608,0,0,0,116009148076.895996
2023-09-01,85387912389.054291,29429209036.459080,406763577.720000,94396540.450000,486062948.650683,0,0,0,145368831.857464,57380770.272250,0,0,0,116007094094.463760
2023-10-01,86587815578.674347,29112537601.076431,563046158.470000,158956937.450000,438824450.650683,0,0,0,145172079.907246,58584825.114866,11626323.000000,0,0,117076563954.343567
2023-11-01,91572152386.909088,28829355707.502686,965652971.770000,156753068.360000,446640156.510683,0,0,0,145087807.935018,59757065.477951,12207639.150000,0,0,122187606803.615417
2023-12-01,93565258147.342194,28415694955.312859,1801091366.910000,264531845.820000,372639175.350683,0,0,0,145013982.783696,106179820.815806,12498297.225000,0,0,124682907591.560257
2024-01-01,98562968193.612030,30359090466.082985,2578169834.310000,301175241.400000,353101045.700683,0,0,0,145178034.247186,105721965.905037,12957536.983500,0,0,132418362318.241425
2024-02-01,100562277657.700485,28766945434.104698,3292039236.910000,304427933.120000,203051111.240683,0,0,0,145215316.272513,102317555.118261,12957536.983500,0,0,133389231781.450119
2024-03-01,106824814093.607040,32399379108.771538,2549846920.870000,188485923.630000,147984690.210683,0,0,0,146849402.085609,105477957.541148,12957536.983500,0,0,142375795633.699493
2024-04-01,112252749420.439209,33023075338.195503,4198504144.050000,328083117.620000,148503536.280683,0,0,0,149346296.581726,93366536.084721,12957536.983500,0,0,150206585926.235291
2024-05-01,114552749365.954834,32265305378.535503,2904009591.250000,444103023.410000,145982340.160683,0,0,0,148672232.056189,88828629.540947,12957536.983500,0,0,150562608097.891632
2024-06-01,115793837898.516052,32037999592.082085,2079062869.900000,499487564.482397,121706619.700683,0,0,0,148482859.100652,87450494.784982,12957536.983500,0,0,150780985435.550323
2024-07-01,117239264485.205566,33037266596.754997,2005756616.160000,625414559.277788,114706088.700683,0,0,0,148726663.686905,87226629.197267,38651710.813500,0,0,153297013349.796722
2024-08-01,120423074464.518127,34603878445.391739,2799054880.660000,908164707.586368,106940788.480683,0,0,0,148829986.982174,106418773.779237,38651710.813500,0,0,159135013758.211823
2024-09-01,121854865139.312225,35400278914.828194,2817942313.550000,704883091.811957,107115483.900683,0,0,1356028.000000,148565643.589489,116980323.995040,44948905.205798,0,0,161196935844.193359
2024-10-01,122850145170.298523,34501699461.327560,2539366612.320000,570851729.474883,110099030.668415,0,10750140.000000,48708142.000000,148163748.471811,138119675.547084,45065168.435798,0,0,160962968878.544098
2024-11-01,138456563253.706482,39579481599.840797,1989183494.400000,546550436.921749,103115717.668415,0,29386864.460000,1606.550000,145792746.254293,142114408.204371,46004749.729043,0,0,181038194877.735138
2024-12-01,142952320564.283661,43559827760.689964,2195994846.330000,497959718.543076,93564116.098415,89359958.221152,29860176.810000,57602317.550000,145869072.006792,134154738.749163,46344238.360643,0,0,189802857507.642914
2025-01-01,144085089216.558258,53042771345.447716,2011875500.854670,482747103.391140,80050903.408415,89360067.284407,37007580.360000,79912632.550000,146146651.817071,157890942.869344,46970897.170343,0,0,200259822841.711365
2025-02-01,145076417039.380157,55760167736.841469,2041924819.934638,753608083.713101,80578595.816685,90161214.597959,117651317.110000,91837632.550000,146084114.802265,169933413.977752,47862636.144443,0,0,204376226604.868439
2025-03-01,149891228908.230896,59492712623.897095,2588088088.167816,753266130.018406,79443383.534771,1432561707.279539,189048942.269999,199637599.550000,146123694.502928,228001516.461049,48994923.741413,0,0,215049107517.653900
2025-04-01,153527966937.478271,60850082848.532585,1476057855.768664,887766151.817313,71319225.344771,1438233400.876015,234514973.093231,250137599.550000,146259512.917556,265713322.697880,48256652.230912,0,0,219196308480.307190
2025-05-01,158017414663.087036,60068212040.731117,1659012287.821599,906606815.016534,73223449.284771,1449404777.221877,311392595.985511,242138182.550000,146265820.709341,254776476.185910,48140389.000913,0,0,223176587497.594574
2025-06-01,161778544587.465240,60776118530.212440,1470074342.700668,950362403.398344,67953449.284771,1461242394.596797,322640222.108322,389338282.550000,146121332.603784,241895270.423813,54401245.320674,0,0,227658692060.664825
2025-07-01,169737712149.930054,63510448418.259285,1305501082.688040,1037124620.174885,64953459.284771,1438577781.188969,326939499.533064,536838227.550000,146132083.057741,252166260.909298,54517508.550673,0,0,238410911091.126740
2025-08-01,174685273061.180542,71155363192.437454,1163439682.536649,1181319967.538167,66953468.265718,1491191279.778976,551553116.424374,616045484.550000,146087670.620144,273814146.460988,67008253.316253,0,1001033.028154,251399050356.137421
2025-09-01,181019547930.573303,73692578126.988815,1080496164.356813,2432687332.652576,63264568.265718,1833287131.212393,719369888.679487,700791506.189998,146042459.558794,286559269.200746,65707267.772553,25028471.480000,63653183.457637,262129013300.388885
2025-10-01,188013553169.609924,75181368118.100967,1027048215.128684,2814793868.104750,55711456.227634,1832012491.599120,991512885.428995,805192409.249998,145743720.084808,312880392.782348,64823678.850876,21545236.360000,49918124.307021,271316103765.835052
2025-11-01,188920247266.215637,76502756366.275131,926701524.430131,3868478976.634829,57569455.221505,1338401421.549119,1036072003.033494,1025892410.417345,145874196.843465,363895973.127716,62872770.225153,60599471.670000,28323320.255900,274337685155.899506
2025-12-01,191903720241.520935,74741153517.720444,516313158.489718,3609826026.864540,47569455.211825,843833062.190120,1232835845.755396,1043200924.817351,145809905.590914,384474481.299255,67543064.174253,62883066.160000,25897970.314315,274625060720.109070
2026-01-01,191535200875.962036,69098225051.257156,456142731.410694,3609536490.870569,47569455.211825,865096536.301978,1229483963.986976,1096450749.037396,145961089.633050,425497021.271730,70356645.966576,88041973.030000,24477003.707276,268692039587.647247
2026-02-01,189990380090.654816,74758228777.528961,380413815.014236,4203341568.875026,40569452.761825,835268768.360978,1358332821.934507,1238673752.835610,146522354.735746,490682615.564832,68788803.000610,81718593.990000,24537226.152610,273617458641.409729
2026-03-01,190969815497.598511,75975821920.173309,394264709.282206,3927545854.521406,40569460.748896,863108559.010239,1401771959.232268,1057493745.295610,146633328.907261,475045554.339352,83919556.462022,90809713.610000,30113749.691055,275456913608.872131
2026-04-01,195269637843.545288,75409499045.590103,402873076.032193,3383284871.673480,40569459.930272,585137195.230240,1140498113.711496,1191160272.055610,146579349.389367,492958799.075326,94214201.727750,102565769.200000,32701947.774549,278291679944.935608
2026-05-01,195241971897.846130,72940630076.847412,354688772.034291,3060363027.104387,31954027.030524,1061000391.460240,1182175404.904849,1085054927.145036,146528713.450827,500749148.846794,93908055.158260,61334006.290000,32800729.685785,275793159177.804504
2026-06-01,195235272639.209717,72032090660.943588,339688772.034285,3000169822.188896,31954027.030524,1011196089.960240,1201338055.338248,1076192515.254541,146577147.561439,500286919.514355,94021208.207342,53927095.200000,32805550.505606,274755520502.948792
