day,tron,bsc,solana,ethereum,polygon,arbitrum,base,optimism,celo,avalanche,stellar,aptos,worldchain,ton,sui,plasma,linea,hyperevm,stable,codex,total
2020-01-01,113426.000000,0,0,1716372.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829798.000000
2020-02-01,168382.000000,0,0,2347369.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515751.000000
2020-03-01,256418.000000,0,0,3188422.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3444840.000000
2020-04-01,298993.000000,0,0,3799665.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4098658.000000
2020-05-01,321291.000000,0,0,4886511.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5207802.000000
2020-06-01,520105.000000,0,0,5835708.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6355813.000000
2020-07-01,846812.000000,0,0,5802975.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6649787.000000
2020-08-01,1815738.000000,0,0,5971003.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7786741.000000
2020-09-01,3929845.000000,49533.000000,0,5132711.000000,812.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9112901.000000
2020-10-01,3523848.000000,52940.000000,1447.000000,6924144.000000,15765.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10518144.000000
2020-11-01,3340809.000000,55139.000000,5029.000000,7199987.000000,29083.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10630047.000000
2020-12-01,3939257.000000,60982.000000,3605.000000,6664770.000000,16823.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10685437.000000
2021-01-01,5886438.000000,118551.000000,13892.000000,6568973.000000,44011.000000,0,0,0,0,0,13.000000,0,0,0,0,0,0,0,0,0,12631878.000000
2021-02-01,10309230.000000,595195.000000,35809.000000,5097919.000000,57617.000000,0,0,0,0,0,28488.000000,0,0,0,0,0,0,0,0,0,16124258.000000
2021-03-01,12167251.000000,1069005.000000,134470.000000,5232765.000000,92675.000000,0,0,0,0,0,20843.000000,0,0,0,0,0,0,0,0,0,18717009.000000
2021-04-01,14602017.000000,2714090.000000,1033951.000000,5815748.000000,292515.000000,0,0,0,0,0,39251.000000,0,0,0,0,0,0,0,0,0,24497572.000000
2021-05-01,19176882.000000,5018823.000000,1287028.000000,6158660.000000,1324984.000000,0,0,0,0,0,61756.000000,0,0,0,0,0,0,0,0,0,33028133.000000
2021-06-01,12395359.000000,3850916.000000,578432.000000,5391470.000000,2663856.000000,10.000000,0,0,0,0,40466.000000,0,0,0,0,0,0,0,0,0,24920509.000000
2021-07-01,12397787.000000,3597179.000000,370664.000000,4761036.000000,2247174.000000,76.000000,0,0,0,26.000000,36268.000000,0,0,0,0,0,0,0,0,0,23410210.000000
2021-08-01,16469053.000000,4739505.000000,874658.000000,4568526.000000,2451804.000000,171.000000,0,0,0,119684.000000,101585.000000,0,0,0,0,0,0,0,0,0,29324986.000000
2021-09-01,17690314.000000,5344032.000000,2978808.000000,4235355.000000,2668259.000000,238207.000000,0,0,0,366747.000000,114240.000000,0,0,0,0,0,0,0,0,0,33635962.000000
2021-10-01,21423776.000000,7368188.000000,2635017.000000,4469632.000000,3927992.000000,148637.000000,0,0,0,483100.000000,150413.000000,0,0,0,0,0,0,0,0,0,40606755.000000
2021-11-01,26065005.000000,11014524.000000,4319271.000000,4752273.000000,3691460.000000,96461.000000,0,21607.000000,0,668734.000000,668890.000000,0,0,0,0,0,0,0,0,0,51298225.000000
2021-12-01,23974518.000000,8562211.000000,3257995.000000,4225618.000000,4023153.000000,99718.000000,0,52657.000000,0,806980.000000,756854.000000,0,0,0,0,0,0,0,0,0,45759704.000000
2022-01-01,22108645.000000,7632816.000000,3563099.000000,3349604.000000,2341015.000000,120938.000000,0,28499.000000,0,743860.000000,1341317.000000,0,0,0,0,0,0,0,0,0,41229793.000000
2022-02-01,20389469.000000,8178222.000000,2225052.000000,2738760.000000,2178778.000000,129815.000000,0,29940.000000,0,726598.000000,1377695.000000,0,0,0,0,0,0,0,0,0,37974329.000000
2022-03-01,23916302.000000,9564904.000000,1941481.000000,3478401.000000,2019654.000000,179021.000000,0,53094.000000,0,680425.000000,1148784.000000,0,0,0,0,0,0,0,0,0,42982066.000000
2022-04-01,27349670.000000,10141275.000000,3278466.000000,3044062.000000,2196680.000000,240215.000000,0,93713.000000,0,519501.000000,807102.000000,0,0,0,0,0,0,0,0,0,47670684.000000
2022-05-01,30637348.000000,11010847.000000,3977725.000000,3743082.000000,2705536.000000,443582.000000,0,131750.000000,0,574132.000000,1034089.000000,0,0,0,0,0,0,0,0,0,54258091.000000
2022-06-01,26090085.000000,10885963.000000,2627584.000000,3259798.000000,2697294.000000,557001.000000,0,241978.000000,0,427743.000000,846259.000000,0,0,0,0,0,0,0,0,0,47633705.000000
2022-07-01,25877476.000000,11372656.000000,1565613.000000,3557746.000000,2626384.000000,453106.000000,0,239893.000000,0,387065.000000,596074.000000,0,0,0,0,0,0,0,0,0,46676013.000000
2022-08-01,27459424.000000,9912065.000000,1345914.000000,3604813.000000,2721780.000000,657307.000000,0,357622.000000,0,398796.000000,598677.000000,0,0,0,0,0,0,0,0,0,47056398.000000
2022-09-01,26932832.000000,9725721.000000,1080667.000000,3571648.000000,2554898.000000,1066676.000000,0,630134.000000,0,303173.000000,759118.000000,0,0,0,0,0,0,0,0,0,46624867.000000
2022-10-01,35739694.000000,9183499.000000,1081733.000000,3637888.000000,2481435.000000,1264460.000000,0,999277.000000,0,276685.000000,419464.000000,0,0,0,0,0,0,0,0,0,55084135.000000
2022-11-01,47749257.000000,10700717.000000,1275239.000000,4571347.000000,3861120.000000,2219849.000000,0,2030134.000000,0,384436.000000,377899.000000,0,0,0,0,0,0,0,0,0,73169998.000000
2022-12-01,52317491.000000,9603420.000000,1058034.000000,4341247.000000,3428640.000000,1676928.000000,0,3017230.000000,0,388358.000000,236348.000000,0,0,0,0,0,0,0,0,0,76067696.000000
2023-01-01,47092541.000000,8740161.000000,3034432.000000,3961700.000000,3176071.000000,1408430.000000,0,2575497.000000,0,325343.000000,302859.000000,0,0,0,0,0,0,0,0,0,70617034.000000
2023-02-01,38756083.000000,9628787.000000,1280010.000000,3986308.000000,3333620.000000,2361200.000000,0,710385.000000,0,345181.000000,324802.000000,0,0,0,0,0,0,0,0,0,60726376.000000
2023-03-01,42386649.000000,13674437.000000,1492269.000000,4611465.000000,4137235.000000,3189290.000000,0,783213.000000,0,413542.000000,377142.000000,0,0,0,0,0,0,0,0,0,71065242.000000
2023-04-01,46418316.000000,15990393.000000,1337345.000000,3513198.000000,4300676.000000,3992671.000000,0,1159063.000000,0,858356.000000,264473.000000,0,0,0,0,0,0,0,0,0,77834491.000000
2023-05-01,51109068.000000,18478993.000000,2144125.000000,3312968.000000,4967848.000000,3465437.000000,0,765819.000000,0,1690597.000000,255348.000000,0,0,0,14819.000000,0,0,0,0,0,86205022.000000
2023-06-01,42279842.000000,15721265.000000,1577687.000000,3504723.000000,5362045.000000,3878389.000000,0,1285083.000000,0,1936215.000000,387912.000000,0,0,0,6182.000000,0,0,0,0,0,75939343.000000
2023-07-01,39285861.000000,17567659.000000,1657792.000000,3342614.000000,5692454.000000,3890262.000000,0,1951224.000000,0,2004516.000000,510385.000000,0,0,0,16099.000000,0,0,0,0,0,75918866.000000
2023-08-01,41554468.000000,17672294.000000,1524296.000000,3388296.000000,4351354.000000,2989019.000000,37.000000,1735738.000000,0,1177314.000000,333706.000000,0,0,0,678783.000000,0,0,0,0,0,75405305.000000
2023-09-01,42507197.000000,17161499.000000,1470813.000000,3289667.000000,3060998.000000,2240963.000000,42080.000000,1081461.000000,0,672368.000000,281780.000000,0,0,0,171477.000000,0,0,0,0,0,71980303.000000
2023-10-01,44592651.000000,15905558.000000,1720573.000000,3917469.000000,3365055.000000,2593439.000000,144466.000000,817945.000000,0,586522.000000,285966.000000,0,0,0,7791.000000,0,0,0,0,0,73937435.000000
2023-11-01,42201989.000000,16701093.000000,3380473.000000,4004929.000000,3824926.000000,3212626.000000,143833.000000,936871.000000,0,632132.000000,257691.000000,0,0,0,8074.000000,0,0,0,0,0,75304637.000000
2023-12-01,43014069.000000,18990620.000000,7214167.000000,4394085.000000,4560031.000000,3274570.000000,259000.000000,1196337.000000,0,701177.000000,264001.000000,0,0,0,31902.000000,0,0,0,0,0,83899959.000000
2024-01-01,40883126.000000,18809409.000000,7535475.000000,4442926.000000,5109980.000000,3871977.000000,299667.000000,1231725.000000,19.000000,791610.000000,345235.000000,0,0,0,27088.000000,0,0,0,0,0,83348237.000000
2024-02-01,38037424.000000,16855206.000000,7705391.000000,3961368.000000,5414250.000000,3436482.000000,434157.000000,992441.000000,639.000000,1009272.000000,414751.000000,0,0,0,31285.000000,0,0,0,0,0,78292666.000000
2024-03-01,49376311.000000,27562789.000000,11614515.000000,4761962.000000,6903688.000000,5935297.000000,1120739.000000,1904871.000000,5149.000000,1573673.000000,548361.000000,0,0,0,26347.000000,0,0,0,0,0,111333702.000000
2024-04-01,44960904.000000,24048723.000000,8869809.000000,4456297.000000,7422436.000000,7419084.000000,2475894.000000,2688459.000000,20874.000000,1309571.000000,559310.000000,0,0,77707.000000,29521.000000,0,0,0,0,0,104338589.000000
2024-05-01,48389243.000000,21374107.000000,7299237.000000,4488821.000000,5427942.000000,6008946.000000,2240430.000000,2750331.000000,46716.000000,996382.000000,945048.000000,0,0,619017.000000,40752.000000,0,0,0,0,0,100626972.000000
2024-06-01,48068944.000000,23524230.000000,6821335.000000,4248401.000000,4860610.000000,5402967.000000,3039410.000000,2349635.000000,72677.000000,921860.000000,1065938.000000,0,0,713808.000000,31181.000000,0,0,0,0,0,101120996.000000
2024-07-01,50503545.000000,23487206.000000,7137298.000000,4287141.000000,5496981.000000,6158304.000000,3137203.000000,2108451.000000,86354.000000,942385.000000,1101194.000000,0,0,745376.000000,25606.000000,0,0,0,0,0,105217044.000000
2024-08-01,48319850.000000,26199686.000000,7072324.000000,4753340.000000,5634458.000000,6504276.000000,3573576.000000,2176919.000000,109598.000000,895463.000000,1127260.000000,0,12.000000,918261.000000,46964.000000,0,0,0,0,0,107331987.000000
2024-09-01,48479822.000000,31621552.000000,7140624.000000,4621247.000000,5275104.000000,5268016.000000,3337343.000000,1892892.000000,127701.000000,827131.000000,1052880.000000,0,70.000000,1782651.000000,57648.000000,0,0,0,0,0,111484681.000000
2024-10-01,51530504.000000,29463799.000000,8607245.000000,4320301.000000,6699594.000000,5516365.000000,3550389.000000,2742646.000000,895181.000000,739684.000000,1110998.000000,57.000000,691378.000000,1034466.000000,244223.000000,0,0,0,0,0,117146830.000000
2024-11-01,49385416.000000,30339302.000000,11392422.000000,4875741.000000,9151271.000000,8330234.000000,4996772.000000,2343878.000000,2475037.000000,897854.000000,1316931.000000,22548.000000,1031325.000000,1098430.000000,475692.000000,0,0,0,0,0,128132853.000000
2024-12-01,47602239.000000,32657024.000000,11406397.000000,5310004.000000,9885448.000000,9454231.000000,6031406.000000,2113260.000000,3305835.000000,984118.000000,1328017.000000,676300.000000,1226845.000000,1047155.000000,576070.000000,0,0,0,0,0,133604349.000000
