day,USDT,USDC,PYUSD,EURC,USDP,FDUSD,MUSD,USDG,USDH,EURS,RLUSD,EURCV,USDTB,total
2023-02-01,52909900.000000,7810677.000000,16.000000,313.000000,3653.000000,0,0,0,0,1817.000000,0,0,0,60726376.000000
2023-03-01,62146131.000000,8906019.000000,50.000000,1987.000000,6518.000000,0,0,0,0,4537.000000,0,0,0,71065242.000000
2023-04-01,68282269.000000,9545120.000000,0,785.000000,3033.000000,0,0,0,0,3284.000000,0,0,0,77834491.000000
2023-05-01,75783942.000000,10416146.000000,0,749.000000,2406.000000,4.000000,0,0,0,1775.000000,0,0,0,86205022.000000
2023-06-01,64681406.000000,11250769.000000,5.000000,2807.000000,2889.000000,4.000000,0,0,0,1463.000000,0,0,0,75939343.000000
2023-07-01,64307015.000000,11604630.000000,0,3941.000000,2009.000000,41.000000,0,0,0,1230.000000,0,0,0,75918866.000000
2023-08-01,66992693.000000,8406545.000000,920.000000,1152.000000,2486.000000,258.000000,0,0,0,1251.000000,0,0,0,75405305.000000
2023-09-01,65486061.000000,6486762.000000,1737.000000,990.000000,2291.000000,1294.000000,0,0,0,1168.000000,0,0,0,71980303.000000
2023-10-01,66333182.000000,7594001.000000,3290.000000,1426.000000,2385.000000,1230.000000,0,0,0,1921.000000,0,0,0,73937435.000000
2023-11-01,65597058.000000,9694536.000000,4660.000000,1947.000000,2382.000000,2563.000000,0,0,0,1463.000000,0,28.000000,0,75304637.000000
2023-12-01,70333324.000000,13542435.000000,5683.000000,5675.000000,2864.000000,8646.000000,0,0,0,1325.000000,0,7.000000,0,83899959.000000
2024-01-01,68667262.000000,14651337.000000,6711.000000,3371.000000,2755.000000,15195.000000,0,0,0,1602.000000,0,4.000000,0,83348237.000000
2024-02-01,63850399.000000,14399291.000000,7798.000000,3401.000000,2111.000000,28348.000000,0,0,0,1307.000000,0,11.000000,0,78292666.000000
2024-03-01,89575613.000000,21649342.000000,11125.000000,6470.000000,2892.000000,84431.000000,0,0,0,3821.000000,0,8.000000,0,111333702.000000
2024-04-01,81587691.000000,22626613.000000,13666.000000,2901.000000,3082.000000,102932.000000,0,0,0,1701.000000,0,3.000000,0,104338589.000000
2024-05-01,82129298.000000,18356163.000000,18653.000000,3120.000000,1955.000000,115351.000000,0,0,0,2432.000000,0,0,0,100626972.000000
2024-06-01,83453318.000000,17599366.000000,26304.000000,6892.000000,2078.000000,30789.000000,0,0,0,2249.000000,0,0,0,101120996.000000
2024-07-01,85604432.000000,19449315.000000,137944.000000,6799.000000,2572.000000,14146.000000,0,0,0,1813.000000,0,23.000000,0,105217044.000000
2024-08-01,86794387.000000,20310615.000000,194696.000000,13254.000000,2315.000000,14882.000000,0,0,0,1834.000000,1.000000,3.000000,0,107331987.000000
2024-09-01,93113498.000000,18010307.000000,322946.000000,15493.000000,2776.000000,18225.000000,0,0,0,1422.000000,3.000000,11.000000,0,111484681.000000
2024-10-01,94589524.000000,22275036.000000,231688.000000,29139.000000,2709.000000,17123.000000,0,16.000000,0,1540.000000,12.000000,43.000000,0,117146830.000000
2024-11-01,97594498.000000,30192514.000000,221980.000000,47088.000000,53303.000000,21082.000000,0,12.000000,0,2332.000000,10.000000,34.000000,0,128132853.000000
2024-12-01,100553342.000000,32791204.000000,150198.000000,50844.000000,21296.000000,31845.000000,0,24.000000,0,4930.000000,595.000000,7.000000,64.000000,133604349.000000
2025-01-01,100912205.000000,35523504.000000,183483.000000,61959.000000,4880.000000,190720.000000,0,27.000000,0,1923.000000,662.000000,15.000000,32.000000,136879410.000000
2025-02-01,90624761.000000,30941726.000000,111966.000000,66022.000000,80169.000000,88597.000000,0,86.000000,0,1643.000000,757.000000,41.000000,31.000000,121915799.000000
2025-03-01,101177677.000000,32204691.000000,146658.000000,122118.000000,110503.000000,88588.000000,0,2232.000000,0,1559.000000,837.000000,36.000000,57.000000,133854956.000000
2025-04-01,92285913.000000,33181715.000000,191583.000000,124684.000000,40597.000000,113155.000000,0,6767.000000,0,1975.000000,1749.000000,58.000000,69.000000,125948265.000000
2025-05-01,141885581.000000,48488286.000000,232757.000000,117771.000000,51016.000000,41683.000000,0,16852.000000,0,1621.000000,1643.000000,85.000000,220.000000,190837515.000000
2025-06-01,187949980.000000,50330460.000000,267233.000000,145096.000000,20157.000000,32442.000000,0,64706.000000,0,1773.000000,2217.000000,56.000000,549.000000,238814669.000000
2025-07-01,189784572.000000,56480464.000000,616580.000000,319757.000000,15685.000000,30162.000000,0,28505.000000,0,2285.000000,3789.000000,55.000000,949.000000,247282803.000000
2025-08-01,141594616.000000,56215681.000000,972839.000000,188030.000000,14789.000000,36836.000000,38.000000,31492.000000,0,2567.000000,4144.000000,80.000000,1017.000000,199062129.000000
2025-09-01,141076119.000000,56028530.000000,452513.000000,144161.000000,19064.000000,26780.000000,126547.000000,31161.000000,2946.000000,1568.000000,3840.000000,123.000000,865.000000,197914217.000000
2025-10-01,161371818.000000,69009898.000000,453307.000000,196653.000000,17905.000000,21931.000000,133392.000000,28526.000000,13172.000000,1900.000000,5452.000000,821.000000,1183.000000,231255958.000000
2025-11-01,150924009.000000,63746679.000000,370029.000000,291220.000000,18210.000000,14740.000000,153855.000000,25705.000000,20218.000000,1948.000000,6689.000000,1691.000000,4362.000000,215579355.000000
2025-12-01,147894777.000000,59539991.000000,445014.000000,292969.000000,24941.000000,15651.000000,91815.000000,28798.000000,48165.000000,2223.000000,5165.000000,2277.000000,545.000000,208392331.000000
2026-01-01,152133210.000000,62094665.000000,309561.000000,205852.000000,34674.000000,20949.000000,232045.000000,27725.000000,63654.000000,1453.000000,4817.000000,2240.000000,939.000000,215131784.000000
2026-02-01,138705993.000000,56937558.000000,222614.000000,162372.000000,21603.000000,12011.000000,43548.000000,32655.000000,61636.000000,1765.000000,5513.000000,2286.000000,1329.000000,196210883.000000
2026-03-01,153162952.000000,59728312.000000,240923.000000,169808.000000,19628.000000,13048.000000,58039.000000,42727.000000,52555.000000,1327.000000,6697.000000,12493.000000,1067.000000,213509576.000000
2026-04-01,149924925.000000,56873805.000000,178335.000000,248733.000000,16798.000000,17930.000000,63307.000000,49630.000000,36657.000000,408.000000,6498.000000,12084.000000,1452.000000,207430562.000000
2026-05-01,152182226.000000,56627416.000000,225900.000000,193253.000000,16886.000000,7671.000000,73897.000000,48458.000000,47251.000000,277.000000,5007.000000,7592.000000,1400.000000,209437234.000000
2026-06-01,36742524.000000,15107408.000000,121193.000000,48078.000000,3528.000000,2784.000000,16725.000000,11774.000000,7205.000000,158.000000,1504.000000,2180.000000,440.000000,52065501.000000
