day,Retail Sized,Non Retail Sized,total
2024-04-01,59380861.000000,44957728.000000,104338589.000000
2024-05-01,60066206.000000,40560766.000000,100626972.000000
2024-06-01,62577279.000000,38543717.000000,101120996.000000
2024-07-01,64795552.000000,40421492.000000,105217044.000000
2024-08-01,66112962.000000,41219025.000000,107331987.000000
2024-09-01,72910803.000000,38573878.000000,111484681.000000
2024-10-01,73687705.000000,43459125.000000,117146830.000000
2024-11-01,74942010.000000,53190843.000000,128132853.000000
2024-12-01,76641440.000000,56962909.000000,133604349.000000
2025-01-01,83925269.000000,52954141.000000,136879410.000000
2025-02-01,75450614.000000,46465185.000000,121915799.000000
2025-03-01,83082290.000000,50772666.000000,133854956.000000
2025-04-01,76944472.000000,49003793.000000,125948265.000000
2025-05-01,98403240.000000,92434275.000000,190837515.000000
2025-06-01,101332402.000000,137482267.000000,238814669.000000
2025-07-01,126325085.000000,120957718.000000,247282803.000000
2025-08-01,119608078.000000,79454051.000000,199062129.000000
2025-09-01,116447360.000000,81466857.000000,197914217.000000
2025-10-01,134906429.000000,96349529.000000,231255958.000000
2025-11-01,137470372.000000,78108983.000000,215579355.000000
2025-12-01,141351723.000000,67040608.000000,208392331.000000
2026-01-01,149209461.000000,65922323.000000,215131784.000000
2026-02-01,139596009.000000,56614874.000000,196210883.000000
2026-03-01,150807214.000000,62702362.000000,213509576.000000
2026-04-01,146267151.000000,61163411.000000,207430562.000000
2026-05-01,146589182.000000,62848052.000000,209437234.000000
2026-06-01,34952878.000000,17112623.000000,52065501.000000
